what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1357849040896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849076860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849076876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849076954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849082672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1357849124541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1357849125151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849173972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849182018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357849182815
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357849193891
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1357849195829
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1357849197047
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1357849197469
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1357849199172
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357849209686
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849228480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357849321577
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1357849351401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357849352026
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357849356698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849357994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849358010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849358072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849366071
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357849367431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849367946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849367946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849368024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849374008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849375945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849375945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849376008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849385600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849399598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849399598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849399692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357849402613
